symbol,sharpe_ratio,ret_30d_pct,vol_30d_annual_pct
"TAO/USD","9.72","106.84","104.13"
"AKT/USD","7.74","82.26","110.63"
"GRIN/USD","7.12","29.56","54.47"
"LEOu/USD","7.02","7.95","28.41"
"LUMIA/USD","5.89","20.16","53.27"
"STG/USD","5.88","45.75","88.40"
"FET/USD","5.55","50.03","120.19"
"TRX/USD","5.53","9.99","23.98"
"ZRO/USD","5.25","41.47","93.50"
"RENDER/USD","4.79","25.05","83.52"
