symbol,currency_base,currency_quote,exchange_used,exchange_normalized,last_close,last_datetime,ret_1d_pct,ret_7d_pct,ret_30d_pct,ret_90d_pct,ret_1y_pct,ret_ytd_pct,ret_6m_pct,vol_7d_annual_pct,vol_30d_annual_pct,sharpe_ratio,var_95_pct,atr14_pct,drawdown_90d_pct,tier1_listed,stale,data_points,coverage_ratio,enough_history_90d,enough_history_1y,return_type,returns_mode,include_today,ret_1y_suspect
"ATA/USD","Automata Network","US Dollar","Binance","binance","0.0126","2026-02-09","1.61","-11.27","-30.77","-54.35","-82.97","-29.61","-75.10","160.10","109.68","-3.35","-9.55","10.88","54.00","true","false","425","1.000","true","true","simple","calendar","true","false"
"ATLAS/USD","Star Atlas","US Dollar","Gate.io","gate.io","0.0002","2026-02-09","-2.02","-14.36","-37.61","-62.41","-89.81","-35.44","-81.86","107.43","83.63","-6.50","-7.93","9.29","61.87","false","false","425","1.000","true","true","simple","calendar","true","false"
"ATOM/EUR","Cosmos","Euro","Kraken","kraken","1.6500","2026-02-09","-0.12","-1.77","-25.88","-35.80","-62.87","-6.10","-59.20","104.16","76.59","-4.26","-7.00","7.77","38.26","true","false","425","1.000","true","true","simple","calendar","true","false"
"ATOM/USD","Cosmos","US Dollar","Binance","binance","1.9650","2026-02-09","0.77","-0.86","-24.19","-33.88","-57.00","-5.03","-58.46","104.37","74.83","-4.01","-6.68","8.02","37.08","true","false","425","1.000","true","true","simple","calendar","true","false"
"AUDIO/EUR","Audius","Euro","BitStamp","bitstamp","0.0220","2026-02-09","0.00","-10.24","-18.43","-34.41","-77.14","-0.72","-62.06","161.45","115.38","-0.36","-10.77","5.35","45.81","true","false","425","1.000","true","true","simple","calendar","true","false"
"AUDIO/USD","Audius","US Dollar","Binance","binance","0.0211","2026-02-09","0.48","-11.72","-32.15","-45.90","-78.84","-28.72","-67.79","126.12","75.82","-5.58","-5.73","10.49","48.45","true","false","425","1.000","true","true","simple","calendar","true","false"
"A/USDT","Vaulta","US Dollar","Binance","binance","0.0833","2026-02-09","0.36","-12.59","-52.37","-71.33","","-49.15","-84.60","151.58","117.32","-7.13","-15.96","10.19","71.23","true","false","247","1.000","true","false","simple","calendar","true","false"
"AVAX/EUR","Avalanche","Euro","Binance","binance","7.6400","2026-02-09","-0.65","-11.16","-35.47","-50.26","-68.43","-33.91","-63.20","143.39","92.16","-5.28","-8.54","9.13","51.45","true","false","425","1.000","true","true","simple","calendar","true","false"
"AVAX/USD","Avalanche","US Dollar","Binance","binance","9.0700","2026-02-09","-0.11","-10.55","-34.23","-48.96","-63.53","-33.26","-62.57","143.79","91.46","-5.06","-8.53","9.53","50.54","true","false","425","1.000","true","true","simple","calendar","true","false"
"AXS/EUR","Axie Infinity","Euro","Kraken","kraken","1.2010","2026-02-09","11.82","-16.07","47.72","-4.15","-70.31","62.30","-44.68","165.00","294.19","2.84","-15.11","19.78","56.71","true","false","425","1.000","true","true","simple","calendar","true","false"
"AXS/USD","Axie Infinity","US Dollar","Binance","binance","1.4550","2026-02-09","15.11","-13.96","53.48","0.97","-65.24","67.05","-42.56","182.61","294.82","3.04","-14.88","18.67","56.95","true","false","425","1.000","true","true","simple","calendar","true","false"
"BADGER/USD","Badger DAO","US Dollar","Coinbase Pro","coinbase","0.3857","2026-02-09","-0.21","-17.23","-29.87","-45.68","-88.52","-28.57","-64.29","163.67","91.69","-3.99","-7.89","8.87","48.19","true","false","425","1.000","true","true","simple","calendar","true","false"
"BAL/USD","Balancer","US Dollar","Coinbase Pro","coinbase","0.1665","2026-02-09","-1.13","-32.73","-69.44","-80.74","-91.29","-72.14","-88.55","156.20","158.02","-7.94","-19.27","25.13","79.24","true","false","425","1.000","true","true","simple","calendar","true","false"
"BAND/USD","Band Protocol","US Dollar","Binance","binance","0.2530","2026-02-09","3.69","-0.39","-26.45","-46.96","-72.35","-26.02","-66.49","192.24","109.77","-2.84","-9.06","9.43","54.68","true","false","425","1.000","true","true","simple","calendar","true","false"
"BAT/EUR","Basic Attention Token","Euro","Kraken","kraken","0.1111","2026-02-09","9.48","5.40","-37.63","-38.83","-34.61","-40.84","-19.21","139.97","108.38","-4.53","-10.63","14.02","60.82","true","false","425","1.000","true","true","simple","calendar","true","false"
"BAT/USD","Basic Attention Token","US Dollar","Binance","binance","0.1316","2026-02-09","9.85","6.21","-36.79","-37.78","-25.61","-40.77","-17.39","164.51","112.07","-4.21","-10.82","10.75","61.37","true","false","425","1.000","true","true","simple","calendar","true","false"
"BCH/EUR","Bitcoin Cash","Euro","Binance","binance","444.9000","2026-02-09","0.23","-2.95","-18.34","2.04","41.33","-11.66","-8.27","172.44","93.42","-2.39","-7.98","7.91","31.39","true","false","425","1.000","true","true","simple","calendar","true","false"
"BCH/USD","Bitcoin Cash","US Dollar","Binance","binance","533.3000","2026-02-09","1.20","-1.19","-15.98","5.92","64.35","-10.10","-5.79","167.10","91.27","-2.08","-8.26","8.29","30.65","true","false","425","1.000","true","true","simple","calendar","true","false"
"BLAST/USD","Blast","US Dollar","Bybit","bybit","0.0005","2026-02-09","-2.60","-12.36","-37.92","-56.75","185.89","-23.39","-83.62","136.53","107.94","-4.33","-12.07","14.30","56.57","true","false","425","1.000","true","true","simple","calendar","true","false"
"BLUR/USD","Blur","US Dollar","Binance","binance","0.0206","2026-02-09","2.85","-10.44","-35.73","-56.78","-84.71","-30.17","-77.08","156.55","138.68","-3.32","-12.35","11.38","57.52","true","false","425","1.000","true","true","simple","calendar","true","false"
